manager,start_date,end_date,club
Kit Symons,"18 Sep, 2014","08 Nov, 2015",Fulham
Felix Magath,"14 Feb, 2014","18 Sep, 2014",Fulham
Rene Meulensteen,"02 Dec, 2013","14 Feb, 2014",Fulham
Martin Jol,"07 Jun, 2011","02 Dec, 2013",Fulham
Mark Hughes,"29 Jul, 2010","01 Jun, 2011",Fulham
Roy Hodgson,"30 Dec, 2007","01 Jul, 2010",Fulham
Ray Lewington,"21 Dec, 2007","30 Dec, 2007",Fulham
Lawrie Sanchez,"11 Apr, 2007","21 Dec, 2007",Fulham
Chris Coleman,"17 Apr, 2003","11 Apr, 2007",Fulham
Jean Tigana,"01 Jul, 2000","17 Apr, 2003",Fulham
Karlheinz Riedle,"30 Mar, 2000","01 Jul, 2000",Fulham
Paul Bracewell,"14 May, 1999","29 Mar, 2000",Fulham
Frank Sibley,"09 May, 1999","14 May, 1999",Fulham
Kevin Keegan,"07 May, 1998","09 May, 1999",Fulham
Ray Wilkins,"25 Sep, 1997","07 May, 1998",Fulham
Mickey Adams,"01 Aug, 1996","25 Sep, 1997",Fulham
Ian Branfoot,"01 Aug, 1994","19 Feb, 1996",Fulham
Don Mackay,"27 Jan, 1991","28 Mar, 1994",Fulham
Alan Dicks,"09 Jul, 1990","31 Dec, 1991",Fulham
Ray Lewington,"01 Jul, 1986","01 Jun, 1990",Fulham
Ray Harford,"20 Apr, 1984","10 Jun, 1986",Fulham
Malcolm MacDonald,"01 Nov, 1980","20 Apr, 1984",Fulham
Bobby Campbell,"16 Dec, 1976","31 Oct, 1980",Fulham
Alec Stock,"21 Jun, 1972","16 Dec, 1976",Fulham
Bill Dodgin(Jnr),"01 Dec, 1969","19 Jun, 1972",Fulham
Bobby Robson,"01 Jan, 1968","01 Nov, 1968",Fulham
Vic Buckingham,"01 Jan, 1965","01 Jan, 1968",Fulham
Bedford Jezzard,"01 Jun, 1958","31 Dec, 1964",Fulham
Duggie Livingstone,"01 Jan, 1956","31 May, 1958",Fulham
Bill Dodgin(Snr),"01 Aug, 1949","01 Oct, 1953",Fulham
Frank Osborne,"01 Sep, 1948","01 Jun, 1949",Fulham
Jack Peart,"01 May, 1935","01 Sep, 1948",Fulham
Jimmy Hogan,"01 Aug, 1934","01 Feb, 1935",Fulham
James McIntyre,"01 Apr, 1931","01 Feb, 1934",Fulham
Ned Liddell,"01 May, 1929","01 Apr, 1931",Fulham
Joe Bradshaw,"01 Aug, 1926","01 May, 1929",Fulham
Andy Ducat,"01 May, 1924","01 May, 1926",Fulham
Phil Kelso,"01 Aug, 1909","01 May, 1924",Fulham
Harry Bradshaw,"01 Apr, 1904","01 Apr, 1909",Fulham
Josep Guardiola,"01 Jul, 2016",Present,Man City
Manuel Pellegrini,"14 Jun, 2013","30 Jun, 2016",Man City
Brian Kidd,"13 May, 2013","14 Jun, 2013",Man City
Roberto Mancini,"20 Dec, 2009","13 May, 2013",Man City
Mark Hughes,"04 Jun, 2008","20 Dec, 2009",Man City
Sven-Goran Eriksson,"06 Jul, 2007","02 Jun, 2008",Man City
Stuart Pearce,"11 Mar, 2005","14 May, 2007",Man City
Kevin Keegan,"24 May, 2001","11 Mar, 2005",Man City
Joe Royle,"18 Feb, 1998","21 May, 2001",Man City
Frank Clark,"29 Dec, 1996","17 Feb, 1998",Man City
Phil Neal,"08 Nov, 1996","29 Dec, 1996",Man City
Steve Coppell,"06 Oct, 1996","08 Nov, 1996",Man City
Alan Ball,"02 Jul, 1995","27 Aug, 1996",Man City
Brian Horton,"28 Aug, 1993","16 May, 1995",Man City
Tony Book,"26 Aug, 1993","28 Aug, 1993",Man City
Peter Reid,"15 Nov, 1990","26 Aug, 1993",Man City
Howard Kendall,"06 Dec, 1989","05 Nov, 1990",Man City
Mel Machin,"01 May, 1987","30 Nov, 1989",Man City
Jimmy Frizzell,"01 Oct, 1986","01 May, 1987",Man City
Billy McNeill,"30 Jun, 1983","22 Sep, 1986",Man City
John Benson,"03 Feb, 1983","07 Jun, 1983",Man City
John Bond,"01 Oct, 1980","03 Feb, 1983",Man City
Malcolm Allison,"16 Jul, 1979","01 Oct, 1980",Man City
Tony Book,"12 Apr, 1974","01 Jan, 1979",Man City
Ron Saunders,"22 Nov, 1973","12 Apr, 1974",Man City
Johnny Hart,"01 May, 1973","16 Nov, 1973",Man City
Malcolm Allison,"12 Jun, 1972","30 Mar, 1973",Man City
Joe Mercer,"01 Jul, 1965","12 Jun, 1971",Man City
George Poyser,"01 May, 1963","01 Apr, 1965",Man City
Leslie McDowall,"01 Jun, 1950","01 May, 1963",Man City
"John ""Jock"" Thomson","01 Jun, 1947","01 Feb, 1950",Man City
Sam Cowan,"01 Nov, 1946","01 Jun, 1947",Man City
Wilf Wild,"01 Mar, 1932","01 Nov, 1946",Man City
Peter Hodge,"01 May, 1926","01 Mar, 1932",Man City
David Ashworth,"01 Jul, 1924","01 Nov, 1925",Man City
Ernest Magnall,"01 Aug, 1912","01 May, 1924",Man City
Harry Newbould,"01 Jul, 1906","31 Jul, 1912",Man City
Tom Maley,"01 Jul, 1902","01 Jul, 1906",Man City
Sam Omerod,"01 Aug, 1895","01 Jul, 1902",Man City
Joshua Parlby,"01 Aug, 1893","31 May, 1895",Man City
Lawrence Furniss,"01 Aug, 1889","31 May, 1893",Man City
Mauricio Pochettino,"01 Jul, 2023",Present,Chelsea
Frank Lampard,"06 Apr, 2023","30 Jun, 2023",Chelsea
Graham Potter,"08 Sep, 2022","03 Apr, 2023",Chelsea
Thomas Tuchel,"26 Jan, 2021","07 Sep, 2022",Chelsea
Frank Lampard,"04 Jul, 2019","25 Jan, 2021",Chelsea
Maurizio Sarri,"14 Jul, 2018","16 Jun, 2019",Chelsea
Antonio Conte,"03 Jul, 2016","13 Jul, 2018",Chelsea
Guus Hiddink,"20 Dec, 2015","03 Jul, 2016",Chelsea
Steve Holland,"18 Dec, 2015","20 Dec, 2015",Chelsea
Eddie Newton,"18 Dec, 2015","20 Dec, 2015",Chelsea
Jose Mourinho,"03 Jun, 2013","17 Dec, 2015",Chelsea
Rafael Benitez,"21 Nov, 2012","29 May, 2013",Chelsea
Roberto Di Matteo,"04 Mar, 2012","21 Nov, 2012",Chelsea
Andre Villas-Boas,"22 Jun, 2011","04 Mar, 2012",Chelsea
Carlo Ancelotti,"01 Jun, 2009","22 May, 2011",Chelsea
Guus Hiddink,"16 Feb, 2009","31 May, 2009",Chelsea
Ray Wilkins,"09 Feb, 2009","16 Feb, 2009",Chelsea
Felipe Scolari,"11 Jun, 2008","09 Feb, 2009",Chelsea
Avram Grant,"20 Sep, 2007","24 May, 2008",Chelsea
Jose Mourinho,"02 Jun, 2004","20 Sep, 2007",Chelsea
Claudio Ranieri,"18 Sep, 2000","31 May, 2004",Chelsea
Ray Wilkins,"13 Sep, 2000","17 Sep, 2000",Chelsea
Graham Rix,"13 Sep, 2000","17 Sep, 2000",Chelsea
Gianluca Vialli,"12 Feb, 1998","12 Sep, 2000",Chelsea
Ruud Gullit,"10 May, 1996","12 Feb, 1998",Chelsea
Glenn Hoddle,"04 Jun, 1993","10 May, 1996",Chelsea
David Webb,"15 Feb, 1993","11 May, 1993",Chelsea
Ian Porterfield,"11 Jun, 1991","15 Feb, 1993",Chelsea
Bobby Campbell,"06 Mar, 1988","07 May, 1991",Chelsea
John Hollins,"11 Jun, 1985","06 Mar, 1988",Chelsea
John Neal,"01 May, 1981","11 Jun, 1985",Chelsea
Geoff Hurst,"13 Sep, 1979","30 Apr, 1981",Chelsea
Danny Blanchflower,"14 Dec, 1978","11 Sep, 1979",Chelsea
Frank Upson,"13 Dec, 1978","14 Dec, 1978",Chelsea
Ken Shellito,"07 Jul, 1977","13 Dec, 1978",Chelsea
Eddie McCreadie,"16 Apr, 1975","01 Jul, 1977",Chelsea
Ron Suart,"03 Oct, 1974","16 Apr, 1975",Chelsea
Dave Sexton,"01 Oct, 1967","03 Oct, 1974",Chelsea
Tommy Docherty,"01 Oct, 1962","01 Oct, 1967",Chelsea
Ted Drake,"01 Jun, 1952","30 Sep, 1961",Chelsea
Billy Birrell,"01 May, 1939","31 May, 1952",Chelsea
A Leslie Knighton,"01 Aug, 1933","30 Apr, 1939",Chelsea
David Calderhead,"01 Aug, 1907","01 Jun, 1933",Chelsea
John Tait Robertson,"01 Apr, 1905","01 Oct, 1907",Chelsea
Jurgen Klopp,"08 Oct, 2015",Present,Liverpool
Brendan Rodgers,"01 Jun, 2012","04 Oct, 2015",Liverpool
Kenny Dalglish,"08 Jan, 2011","16 May, 2012",Liverpool
Roy Hodgson,"01 Jul, 2010","08 Jan, 2011",Liverpool
Rafael Benitez,"16 Jun, 2004","03 Jun, 2010",Liverpool
Gerard Houllier,"12 Nov, 1998","24 May, 2004",Liverpool
Gerard Houllier,"01 Jul, 1998","12 Nov, 1998",Liverpool
Roy Evans,"28 Jan, 1994","12 Nov, 1998",Liverpool
Graeme Souness,"16 Apr, 1991","28 Jan, 1994",Liverpool
Ronnie Moran,"22 Feb, 1991","16 Apr, 1991",Liverpool
Kenny Dalglish,"30 May, 1985","22 Feb, 1991",Liverpool
Joe Fagan,"23 May, 1983","30 May, 1985",Liverpool
Bob Paisley,"26 Jul, 1974","23 May, 1983",Liverpool
Bill Shankly,"01 Dec, 1959","12 Jul, 1974",Liverpool
Phil Taylor,"01 May, 1956","30 Nov, 1959",Liverpool
Don Welsh,"01 Mar, 1951","01 May, 1956",Liverpool
George Kay,"01 May, 1936","28 Feb, 1951",Liverpool
George Patterson,"01 Feb, 1928","01 May, 1936",Liverpool
Matt McQueen,"01 Feb, 1923","01 Feb, 1928",Liverpool
David Ashworth,"01 Dec, 1920","01 Feb, 1922",Liverpool
Tom Watson,"01 Aug, 1896","31 May, 1915",Liverpool
John McKenna,"01 Aug, 1892","01 Aug, 1896",Liverpool
Erik ten Hag,"01 Jul, 2022",Present,Man Utd
Ralf Rangnick,"03 Dec, 2021","31 May, 2022",Man Utd
Michael Carrick,"21 Nov, 2021","03 Dec, 2021",Man Utd
Ole Gunnar Solskjaer,"19 Dec, 2018","21 Nov, 2021",Man Utd
Jose Mourinho,"27 May, 2016","18 Dec, 2018",Man Utd
Louis van Gaal,"19 May, 2014","23 May, 2016",Man Utd
Ryan Giggs,"22 Apr, 2014","19 May, 2014",Man Utd
David Moyes,"19 May, 2013","22 Apr, 2014",Man Utd
Alex Ferguson,"06 Nov, 1986","19 May, 2013",Man Utd
Ron Atkinson,"01 Jun, 1981","06 Nov, 1986",Man Utd
Dave Sexton,"14 Jul, 1977","01 Apr, 1981",Man Utd
Tommy Docherty,"22 Dec, 1972","03 Jul, 1977",Man Utd
Frank O'Farrell,"08 Jun, 1971","19 Dec, 1972",Man Utd
Matt Busby,"28 Dec, 1970","02 Jun, 1971",Man Utd
Wilf McGuinness,"10 Aug, 1970","28 Dec, 1970",Man Utd
Matt Busby,"01 Feb, 1945","08 Jun, 1969",Man Utd
Walter Crickmer,"01 Aug, 1944","01 Feb, 1945",Man Utd
Jimmy Porter,"01 Aug, 1938","31 May, 1944",Man Utd
Scott Duncan,"01 Jun, 1932","01 Sep, 1937",Man Utd
Walter Crickmer,"01 Apr, 1931","01 Jun, 1932",Man Utd
Herbert Bamlett,"01 Apr, 1927","01 Apr, 1931",Man Utd
Clarence Hildrith,"01 Oct, 1926","01 Apr, 1927",Man Utd
John Chapman,"01 Oct, 1921","01 Oct, 1926",Man Utd
John Robson,"01 Dec, 1914","01 Oct, 1921",Man Utd
Ernest Magnall,"01 Sep, 1900","01 Sep, 1912",Man Utd
Eddie Howe,"08 Nov, 2021",Present,Newcastle
Graeme Jones,"20 Oct, 2021","08 Nov, 2021",Newcastle
Steve Bruce,"17 Jul, 2019","20 Oct, 2021",Newcastle
Ben Dawson,"01 Jul, 2019","17 Jul, 2019",Newcastle
Rafael Benitez,"11 Mar, 2016","01 Jul, 2019",Newcastle
Steve McClaren,"10 Jun, 2015","11 Mar, 2016",Newcastle
John Carver,"31 Dec, 2014","09 Jun, 2015",Newcastle
Alan Pardew,"09 Dec, 2010","31 Dec, 2014",Newcastle
Chris Hughton,"01 Jun, 2009","06 Dec, 2010",Newcastle
Alan Shearer,"02 Apr, 2009","31 May, 2009",Newcastle
Joe Kinnear,"29 Sep, 2008","02 Apr, 2009",Newcastle
Chris Hughton,"08 Sep, 2008","29 Sep, 2008",Newcastle
Kevin Keegan,"16 Jan, 2008","04 Sep, 2008",Newcastle
Nigel Pearson,"09 Jan, 2008","16 Jan, 2008",Newcastle
Sam Allardyce,"15 May, 2007","09 Jan, 2008",Newcastle
Nigel Pearson,"06 May, 2007","15 May, 2007",Newcastle
Glenn Roeder,"02 Feb, 2006","06 May, 2007",Newcastle
Graeme Souness,"13 Sep, 2004","02 Feb, 2006",Newcastle
John Carver,"30 Aug, 2004","13 Sep, 2004",Newcastle
Bobby Robson,"02 Sep, 1999","30 Aug, 2004",Newcastle
Steve Clarke,"28 Aug, 1999","02 Sep, 1999",Newcastle
Ruud Gullit,"27 Aug, 1998","28 Aug, 1999",Newcastle
Kenny Dalglish,"14 Jan, 1997","27 Aug, 1998",Newcastle
Terry McDermott,"08 Jan, 1997","14 Jan, 1997",Newcastle
Kevin Keegan,"05 Feb, 1992","08 Jan, 1997",Newcastle
Ossie Ardiles,"26 Mar, 1991","05 Feb, 1992",Newcastle
Jim Smith,"04 Dec, 1988","26 Mar, 1991",Newcastle
Colin Suggett,"02 Nov, 1988","04 Dec, 1988",Newcastle
Willie McFaul,"10 Sep, 1985","10 Oct, 1988",Newcastle
Jack Charlton,"14 Aug, 1984","10 Aug, 1985",Newcastle
Arthur Cox,"01 Sep, 1980","24 May, 1984",Newcastle
Bill McGarry,"18 Nov, 1977","31 Aug, 1980",Newcastle
Richard Dinnis,"02 Feb, 1977","09 Nov, 1977",Newcastle
Gordon Lee,"12 Jun, 1975","30 Jan, 1977",Newcastle
Joe Harvey,"01 Jun, 1962","01 Jun, 1975",Newcastle
Norman Smith,"01 Oct, 1961","01 Jun, 1962",Newcastle
Charlie Mitten,"01 Jun, 1958","01 Oct, 1961",Newcastle
Stan Seymour,"01 Jan, 1956","01 Jun, 1958",Newcastle
Duggie Livingstone,"01 Aug, 1954","31 Jul, 1956",Newcastle
Stan Seymour,"01 Dec, 1950","01 Dec, 1954",Newcastle
George Martin,"01 May, 1947","01 Dec, 1950",Newcastle
Stan Seymour,"01 Sep, 1939","01 Mar, 1947",Newcastle
Tom Mather,"01 Jun, 1935","01 Sep, 1939",Newcastle
Andy Cunningham,"01 Jan, 1930","31 May, 1935",Newcastle
Frank Watt,"01 Aug, 1895","01 Jan, 1930",Newcastle
Ange Postecoglou,"06 Jun, 2023",Present,Tottenham Hotspur
Ryan Mason,"24 Apr, 2023","05 Jun, 2023",Tottenham Hotspur
Cristian Stellini,"26 Mar, 2023","24 Apr, 2023",Tottenham Hotspur
Antonio Conte,"02 Nov, 2021","26 Mar, 2023",Tottenham Hotspur
Nuno Espirito Santo,"30 Jun, 2021","01 Nov, 2021",Tottenham Hotspur
Ryan Mason,"19 Apr, 2021","29 Jun, 2021",Tottenham Hotspur
Jose Mourinho,"20 Nov, 2019","19 Apr, 2021",Tottenham Hotspur
Mauricio Pochettino,"27 May, 2014","19 Nov, 2019",Tottenham Hotspur
Tim Sherwood,"16 Dec, 2013","13 May, 2014",Tottenham Hotspur
Andre Villas-Boas,"03 Jul, 2012","16 Dec, 2013",Tottenham Hotspur
Harry Redknapp,"25 Oct, 2008","15 Jun, 2012",Tottenham Hotspur
Juande Ramos,"29 Oct, 2007","25 Oct, 2008",Tottenham Hotspur
Clive Allen,"26 Oct, 2007","29 Oct, 2007",Tottenham Hotspur
Martin Jol,"05 Nov, 2004","26 Oct, 2007",Tottenham Hotspur
Jacques Santini,"03 Jun, 2004","05 Nov, 2004",Tottenham Hotspur
David Pleat,"21 Sep, 2003","03 Jun, 2004",Tottenham Hotspur
Glenn Hoddle,"02 Apr, 2001","21 Sep, 2003",Tottenham Hotspur
David Pleat,"16 Mar, 2001","02 Apr, 2001",Tottenham Hotspur
George Graham,"01 Oct, 1998","16 Mar, 2001",Tottenham Hotspur
Chris Hughton,"07 Sep, 1998","01 Oct, 1998",Tottenham Hotspur
David Pleat,"07 Sep, 1998","01 Oct, 1998",Tottenham Hotspur
Christian Gross,"19 Nov, 1997","05 Sep, 1998",Tottenham Hotspur
Gerry Francis,"15 Nov, 1994","19 Nov, 1997",Tottenham Hotspur
Steve Perryman,"01 Nov, 1994","15 Nov, 1994",Tottenham Hotspur
Ossie Ardiles,"19 Jun, 1993","01 Nov, 1994",Tottenham Hotspur
Doug Livermore,"27 May, 1992","19 Jun, 1993",Tottenham Hotspur
Peter Shreeves,"23 Jul, 1991","15 May, 1992",Tottenham Hotspur
Terry Venables,"28 Nov, 1987","30 Jun, 1991",Tottenham Hotspur
David Pleat,"16 May, 1986","23 Oct, 1987",Tottenham Hotspur
Peter Shreeves,"25 Jun, 1984","13 May, 1986",Tottenham Hotspur
Keith Burkinshaw,"14 Jul, 1976","25 Jun, 1984",Tottenham Hotspur
Terry Neill,"11 Sep, 1974","23 Jun, 1976",Tottenham Hotspur
Bill Nicholson,"01 Oct, 1958","29 Aug, 1974",Tottenham Hotspur
Jimmy Anderson,"01 Jul, 1955","01 Oct, 1958",Tottenham Hotspur
Arthur Rowe,"01 May, 1949","01 Jul, 1955",Tottenham Hotspur
Joe Hulme,"01 Jan, 1946","01 May, 1949",Tottenham Hotspur
Arthur Turner,"01 Aug, 1942","01 Jan, 1946",Tottenham Hotspur
Peter McWilliam,"01 May, 1938","01 Jun, 1942",Tottenham Hotspur
Jack Tresadern,"01 Jun, 1935","30 Apr, 1938",Tottenham Hotspur
Percy Smith,"01 Jan, 1930","01 Apr, 1935",Tottenham Hotspur
Billy Minter,"01 Feb, 1927","01 Nov, 1929",Tottenham Hotspur
Peter McWilliam,"01 Jan, 1913","01 Feb, 1927",Tottenham Hotspur
Fred Kirkham,"01 Aug, 1907","31 May, 1908",Tottenham Hotspur
John Cameron,"01 Aug, 1899","31 May, 1906",Tottenham Hotspur
Frank Brettell,"01 Aug, 1898","31 May, 1899",Tottenham Hotspur
Unai Emery,"24 Oct, 2022",Present,Aston Villa
Aaron Danks,"21 Oct, 2022","24 Oct, 2022",Aston Villa
Steven Gerrard,"11 Nov, 2021","20 Oct, 2022",Aston Villa
Dean Smith,"10 Oct, 2018","07 Nov, 2021",Aston Villa
Kevin MacDonald,"03 Oct, 2018","10 Oct, 2018",Aston Villa
Steve Bruce,"12 Oct, 2016","03 Oct, 2018",Aston Villa
Roberto Di Matteo,"02 Jun, 2016","03 Oct, 2016",Aston Villa
Eric Black,"30 Mar, 2016","02 Jun, 2016",Aston Villa
Remi Garde,"03 Nov, 2015","30 Mar, 2016",Aston Villa
Kevin MacDonald,"25 Oct, 2015","03 Nov, 2015",Aston Villa
Tim Sherwood,"17 Feb, 2015","25 Oct, 2015",Aston Villa
Scott Marshall,"11 Feb, 2015","17 Feb, 2015",Aston Villa
Andy Marshall,"11 Feb, 2015","17 Feb, 2015",Aston Villa
Paul Lambert,"04 Jun, 2012","11 Feb, 2015",Aston Villa
Alex McLeish,"17 Jun, 2011","15 May, 2012",Aston Villa
Gerard Houllier,"21 Sep, 2010","01 Jun, 2011",Aston Villa
Kevin MacDonald,"09 Aug, 2010","21 Sep, 2010",Aston Villa
Martin O'Neill,"05 Aug, 2006","09 Aug, 2010",Aston Villa
Roy Aitken,"19 Jul, 2006","04 Aug, 2006",Aston Villa
David O'Leary,"20 May, 2003","19 Jul, 2006",Aston Villa
Graham Taylor,"05 Feb, 2002","14 May, 2003",Aston Villa
John Deehan,"24 Jan, 2002","05 Feb, 2002",Aston Villa
Stuart Gray,"24 Jan, 2002","05 Feb, 2002",Aston Villa
John Gregory,"25 Feb, 1998","24 Jan, 2002",Aston Villa
Brian Little,"25 Nov, 1994","24 Feb, 1998",Aston Villa
Ron Atkinson,"07 Jul, 1991","10 Nov, 1994",Aston Villa
Jozef Venglos,"22 Jul, 1990","28 May, 1991",Aston Villa
Graham Taylor,"18 May, 1987","14 Jul, 1990",Aston Villa
Billy McNeill,"22 Sep, 1986","08 May, 1987",Aston Villa
Graham Turner,"16 Jul, 1984","14 Sep, 1986",Aston Villa
Tony Barton,"09 Feb, 1982","18 Jun, 1984",Aston Villa
Ron Saunders,"04 Jun, 1974","09 Feb, 1982",Aston Villa
Vic Crowe,"01 Jan, 1970","06 May, 1974",Aston Villa
Tommy Docherty,"01 Dec, 1968","01 Jan, 1970",Aston Villa
Tommy Cummings,"01 Jul, 1967","30 Nov, 1968",Aston Villa
Dick Taylor,"01 Jul, 1964","31 May, 1967",Aston Villa
Joe Mercer,"01 Dec, 1958","31 Jul, 1964",Aston Villa
Eric Houghton,"01 Sep, 1953","30 Nov, 1958",Aston Villa
George Martin,"01 Dec, 1950","31 Aug, 1953",Aston Villa
Alex Massie,"01 Aug, 1945","31 Aug, 1950",Aston Villa
Jimmy Hogan,"01 Nov, 1936","01 Sep, 1939",Aston Villa
Jimmy McMullan,"01 Jun, 1934","31 Oct, 1935",Aston Villa
W J Smith,"01 Aug, 1926","31 May, 1934",Aston Villa
George Ramsey,"01 Aug, 1884","31 May, 1926",Aston Villa
David Moyes,"30 Dec, 2019",Present,West Ham
Manuel Pellegrini,"22 May, 2018","28 Dec, 2019",West Ham
David Moyes,"07 Nov, 2017","16 May, 2018",West Ham
Slaven Bilic,"09 Jun, 2015","06 Nov, 2017",West Ham
Sam Allardyce,"01 Jun, 2011","25 May, 2015",West Ham
Kevin Keen,"16 May, 2011","01 Jun, 2011",West Ham
Avram Grant,"03 Jun, 2010","16 May, 2011",West Ham
Gianfranco Zola,"15 Sep, 2008","11 May, 2010",West Ham
Kevin Keen,"03 Sep, 2008","15 Sep, 2008",West Ham
Alan Curbishley,"13 Dec, 2006","03 Sep, 2008",West Ham
Kevin Keen,"11 Dec, 2006","13 Dec, 2006",West Ham
Alan Pardew,"20 Oct, 2003","11 Dec, 2006",West Ham
Trevor Brooking,"24 Aug, 2003","20 Oct, 2003",West Ham
Glenn Roeder,"01 Jul, 2003","24 Aug, 2003",West Ham
Trevor Brooking,"24 Apr, 2003","12 May, 2003",West Ham
Glenn Roeder,"09 May, 2001","24 Apr, 2003",West Ham
Harry Redknapp,"10 Aug, 1994","09 May, 2001",West Ham
Billy Bonds,"23 Feb, 1990","10 Aug, 1994",West Ham
Lou Macari,"03 Jul, 1989","18 Feb, 1990",West Ham
John Lyall,"16 Aug, 1974","05 Jun, 1989",West Ham
Ron Greenwood,"01 Apr, 1961","16 Aug, 1974",West Ham
Ted Fenton,"01 Aug, 1950","31 Mar, 1961",West Ham
Charlie Paynter,"01 Nov, 1932","01 Aug, 1950",West Ham
Syd King,"01 Apr, 1902","01 Nov, 1932",West Ham
