player,join_date,club
RAÚL JIMÉNEZ,"Jul 25, 2023",Fulham
RODRIGO MUNIZ,"Aug 20, 2021",Fulham
ALISSON,"Jul 19, 2018",Liverpool
CAOIMHÍN KELLEHER,"Jul 1, 2019",Liverpool
ADRIÁN,"Aug 5, 2019",Liverpool
IBRAHIMA KONATÉ,"Jul 1, 2021",Liverpool
VIRGIL VAN DIJK,"Jan 1, 2018",Liverpool
JOE GOMEZ,"Jul 1, 2015",Liverpool
JOEL MATIP,"Jul 1, 2016",Liverpool
JARELL QUANSAH,"Jul 1, 2023",Liverpool
RHYS WILLIAMS,"Jul 1, 2020",Liverpool
ANDREW ROBERTSON,"Jul 21, 2017",Liverpool
KONSTANTINOS TSIMIKAS,"Aug 10, 2020",Liverpool
TRENT ALEXANDER-ARNOLD,"Jul 1, 2016",Liverpool
CONOR BRADLEY,"Jul 1, 2023",Liverpool
WATARU ENDO,"Aug 18, 2023",Liverpool
STEFAN BAJCETIC,"Jul 1, 2022",Liverpool
DOMINIK SZOBOSZLAI,"Jul 2, 2023",Liverpool
ALEXIS MAC ALLISTER,"Jul 1, 2023",Liverpool
RYAN GRAVENBERCH,"Sep 1, 2023",Liverpool
CURTIS JONES,"Jul 1, 2020",Liverpool
THIAGO,"Sep 18, 2020",Liverpool
BOBBY CLARK,-,Liverpool
HARVEY ELLIOTT,"Jul 1, 2021",Liverpool
LUIS DÍAZ,"Jan 30, 2022",Liverpool
CODY GAKPO,"Jan 1, 2023",Liverpool
DIOGO JOTA,"Sep 19, 2020",Liverpool
MOHAMED SALAH,"Jul 1, 2017",Liverpool
BEN DOAK,"Jul 1, 2023",Liverpool
DARWIN NÚÑEZ,"Jul 1, 2022",Liverpool
MARK TRAVERS,"Jul 1, 2020",Bournemouth
ANDREI RADU,"Jul 27, 2023",Bournemouth
NETO,"Aug 7, 2022",Bournemouth
DARREN RANDOLPH,"Jan 26, 2023",Bournemouth
ILYA ZABARNYI,"Jan 31, 2023",Bournemouth
MARCOS SENESI,"Aug 8, 2022",Bournemouth
LLOYD KELLY,"Jul 1, 2019",Bournemouth
CHRIS MEPHAM,"Jan 22, 2019",Bournemouth
JAMES HILL,"Jan 5, 2022",Bournemouth
MILOS KERKEZ,"Jul 20, 2023",Bournemouth
MAX AARONS,"Aug 10, 2023",Bournemouth
RYAN FREDERICKS,"Jul 1, 2022",Bournemouth
ADAM SMITH,"Jan 28, 2014",Bournemouth
TYLER ADAMS,"Aug 20, 2023",Bournemouth
PHILIP BILLING,"Jul 29, 2019",Bournemouth
ALEX SCOTT,"Aug 10, 2023",Bournemouth
LEWIS COOK,"Jul 8, 2016",Bournemouth
ROMAIN FAIVRE,"Jul 13, 2023",Bournemouth
RYAN CHRISTIE,"Aug 31, 2021",Bournemouth
MARCUS TAVERNIER,"Aug 1, 2022",Bournemouth
LUIS SINISTERRA,"Sep 1, 2023",Bournemouth
JUSTIN KLUIVERT,"Jul 1, 2023",Bournemouth
DANGO OUATTARA,"Jan 19, 2023",Bournemouth
ANTOINE SEMENYO,"Jan 27, 2023",Bournemouth
DOMINIC SOLANKE,"Jan 4, 2019",Bournemouth
ENES ÜNAL,"Feb 1, 2024",Bournemouth
MATT TURNER,"Aug 9, 2023",Nottingham Forest
ODYSSEAS VLACHODIMOS,"Sep 1, 2023",Nottingham Forest
MATZ SELS,"Feb 1, 2024",Nottingham Forest
WAYNE HENNESSEY,"Jul 15, 2022",Nottingham Forest
MURILLO,"Aug 31, 2023",Nottingham Forest
MOUSSA NIAKHATÉ,"Jul 6, 2022",Nottingham Forest
ANDREW OMOBAMIDELE,"Sep 1, 2023",Nottingham Forest
WILLY BOLY,"Sep 1, 2022",Nottingham Forest
FELIPE,"Jan 31, 2023",Nottingham Forest
NUNO TAVARES,"Sep 1, 2023",Nottingham Forest
HARRY TOFFOLO,"Jul 20, 2022",Nottingham Forest
NECO WILLIAMS,"Jul 10, 2022",Nottingham Forest
GONZALO MONTIEL,"Aug 23, 2023",Nottingham Forest
OLA AINA,"Jul 22, 2023",Nottingham Forest
IBRAHIM SANGARÉ,"Sep 1, 2023",Nottingham Forest
CHEIKHOU KOUYATÉ,"Aug 13, 2022",Nottingham Forest
DANILO,"Jan 16, 2023",Nottingham Forest
NICOLÁS DOMÍNGUEZ,"Sep 1, 2023",Nottingham Forest
RYAN YATES,"Jul 1, 2016",Nottingham Forest
HARRY ARTER,"Sep 22, 2020",Nottingham Forest
MORGAN GIBBS-WHITE,"Aug 19, 2022",Nottingham Forest
GIOVANNI REYNA,"Jan 31, 2024",Nottingham Forest
ANTHONY ELANGA,"Jul 25, 2023",Nottingham Forest
CALLUM HUDSON-ODOI,"Sep 1, 2023",Nottingham Forest
TAIWO AWONIYI,"Jul 1, 2022",Nottingham Forest
CHRIS WOOD,"Jul 1, 2023",Nottingham Forest
DIVOCK ORIGI,"Sep 1, 2023",Nottingham Forest
RODRIGO RIBEIRO,"Feb 1, 2024",Nottingham Forest
ALPHONSE AREOLA,"Jul 1, 2022",West Ham
LUKASZ FABIANSKI,"Jul 1, 2018",West Ham
JOSEPH ANANG,"Jan 24, 2023",West Ham
NAYEF AGUERD,"Jul 1, 2022",West Ham
KURT ZOUMA,"Aug 28, 2021",West Ham
KONSTANTINOS MAVROPANOS,"Aug 22, 2023",West Ham
ANGELO OGBONNA,"Jul 10, 2015",West Ham
EMERSON PALMIERI,"Aug 23, 2022",West Ham
AARON CRESSWELL,"Jul 3, 2014",West Ham
VLADIMIR COUFAL,"Oct 2, 2020",West Ham
BEN JOHNSON,"Jul 1, 2020",West Ham
EDSON ÁLVAREZ,"Aug 10, 2023",West Ham
TOMAS SOUCEK,"Jul 27, 2020",West Ham
KALVIN PHILLIPS,"Jan 26, 2024",West Ham
JAMES WARD-PROWSE,"Aug 14, 2023",West Ham
LUCAS PAQUETÁ,"Aug 29, 2022",West Ham
MOHAMMED KUDUS,"Aug 27, 2023",West Ham
MAXWEL CORNET,"Aug 5, 2022",West Ham
JARROD BOWEN,"Jan 31, 2020",West Ham
DANNY INGS,"Jan 20, 2023",West Ham
MICHAIL ANTONIO,"Sep 1, 2015",West Ham
DIVIN MUBAMA,"Jul 1, 2023",West Ham
JAMES TRAFFORD,"Jul 20, 2023",Burnley
ARIJANET MURIC,"Jul 22, 2022",Burnley
LAWRENCE VIGOUROUX,"Jul 1, 2023",Burnley
JORDAN BEYER,"Jul 1, 2023",Burnley
AMEEN AL-DAKHIL,"Jan 13, 2023",Burnley
DARA O'SHEA,"Jul 1, 2023",Burnley
HJALMAR EKDAL,"Jan 21, 2023",Burnley
MAXIME ESTÈVE,"Feb 1, 2024",Burnley
HANNES DELCROIX,"Aug 22, 2023",Burnley
CHARLIE TAYLOR,"Jul 6, 2017",Burnley
LORENZ ASSIGNON,"Feb 1, 2024",Burnley
VITINHO,"Jul 28, 2022",Burnley
SANDER BERGE,"Aug 9, 2023",Burnley
HAN-NOAH MASSENGO,"Aug 31, 2023",Burnley
JACK CORK,"Jul 11, 2017",Burnley
JOSH BROWNHILL,"Jan 30, 2020",Burnley
JOSH CULLEN,"Jul 12, 2022",Burnley
AARON RAMSEY,"Aug 22, 2023",Burnley
MIKE TRÉSOR,"Sep 1, 2023",Burnley
WILSON ODOBERT,"Aug 12, 2023",Burnley
LUCA KOLEOSHO,"Jul 25, 2023",Burnley
JACOB BRUUN LARSEN,"Jul 27, 2023",Burnley
NATHAN REDMOND,"Jul 21, 2023",Burnley
BENSON MANUEL,"Aug 4, 2022",Burnley
JÓHANN BERG GUDMUNDSSON,"Jul 19, 2016",Burnley
ZEKI AMDOUNI,"Jul 19, 2023",Burnley
LYLE FOSTER,"Jan 25, 2023",Burnley
DAVID DATRO FOFANA,"Jan 13, 2024",Burnley
JAY RODRÍGUEZ,"Jul 9, 2019",Burnley
DAVID RAYA,"Aug 15, 2023",Arsenal
AARON RAMSDALE,"Aug 20, 2021",Arsenal
KARL HEIN,"Jul 1, 2022",Arsenal
WILLIAM SALIBA,"Jul 25, 2019",Arsenal
GABRIEL MAGALHÃES,"Sep 1, 2020",Arsenal
JURRIEN TIMBER,"Jul 14, 2023",Arsenal
JAKUB KIWIOR,"Jan 23, 2023",Arsenal
OLEKSANDR ZINCHENKO,"Jul 22, 2022",Arsenal
BEN WHITE,"Jul 30, 2021",Arsenal
TAKEHIRO TOMIYASU,"Aug 31, 2021",Arsenal
CÉDRIC SOARES,"Jul 1, 2020",Arsenal
DECLAN RICE,"Jul 15, 2023",Arsenal
THOMAS PARTEY,"Oct 5, 2020",Arsenal
JORGINHO,"Jan 31, 2023",Arsenal
MOHAMED ELNENY,"Jan 14, 2016",Arsenal
MARTIN ØDEGAARD,"Aug 20, 2021",Arsenal
KAI HAVERTZ,"Jul 1, 2023",Arsenal
FÁBIO VIEIRA,"Jul 1, 2022",Arsenal
EMILE SMITH ROWE,"Aug 1, 2020",Arsenal
GABRIEL MARTINELLI,"Jul 2, 2019",Arsenal
LEANDRO TROSSARD,"Jan 20, 2023",Arsenal
BUKAYO SAKA,"Jul 1, 2019",Arsenal
REISS NELSON,"Jul 1, 2019",Arsenal
GABRIEL JESUS,"Jul 4, 2022",Arsenal
EDDIE NKETIAH,"Jan 1, 2019",Arsenal
ANDRÉ ONANA,"Jul 20, 2023",Man Utd
ALTAY BAYINDIR,"Sep 1, 2023",Man Utd
TOM HEATON,"Jul 2, 2021",Man Utd
LISANDRO MARTÍNEZ,"Jul 27, 2022",Man Utd
RAPHAËL VARANE,"Aug 14, 2021",Man Utd
HARRY MAGUIRE,"Aug 5, 2019",Man Utd
VICTOR LINDELÖF,"Jul 1, 2017",Man Utd
JONNY EVANS,"Jul 18, 2023",Man Utd
WILLY KAMBWALA,"Dec 23, 2023",Man Utd
LUKE SHAW,"Jul 1, 2014",Man Utd
TYRELL MALACIA,"Jul 5, 2022",Man Utd
DIOGO DALOT,"Jul 1, 2018",Man Utd
AARON WAN-BISSAKA,"Jul 1, 2019",Man Utd
CASEMIRO,"Aug 22, 2022",Man Utd
SOFYAN AMRABAT,"Sep 1, 2023",Man Utd
SCOTT MCTOMINAY,"Jul 1, 2017",Man Utd
CHRISTIAN ERIKSEN,"Jul 15, 2022",Man Utd
KOBBIE MAINOO,"Jan 1, 2023",Man Utd
BRUNO FERNANDES,"Jan 29, 2020",Man Utd
MASON MOUNT,"Jul 5, 2023",Man Utd
SHOLA SHORETIRE,"Feb 8, 2021",Man Utd
MARCUS RASHFORD,"Jan 1, 2016",Man Utd
ALEJANDRO GARNACHO,"Jul 1, 2022",Man Utd
ANTONY,"Aug 30, 2022",Man Utd
AMAD DIALLO,"Jan 2, 2021",Man Utd
RASMUS HØJLUND,"Aug 5, 2023",Man Utd
ANTHONY MARTIAL,"Sep 1, 2015",Man Utd
GUGLIELMO VICARIO,"Jul 1, 2023",Tottenham Hotspur
FRASER FORSTER,"Jul 1, 2022",Tottenham Hotspur
BRANDON AUSTIN,"Aug 1, 2021",Tottenham Hotspur
ALFIE WHITEMAN,"Jul 1, 2019",Tottenham Hotspur
CRISTIAN ROMERO,"Aug 30, 2022",Tottenham Hotspur
MICKY VAN DE VEN,"Aug 8, 2023",Tottenham Hotspur
RADU DRĂGUȘIN,"Jan 11, 2024",Tottenham Hotspur
DESTINY UDOGIE,"Aug 16, 2022",Tottenham Hotspur
BEN DAVIES,"Jul 23, 2014",Tottenham Hotspur
PEDRO PORRO,"Jul 1, 2023",Tottenham Hotspur
EMERSON ROYAL,"Aug 31, 2021",Tottenham Hotspur
PIERRE-EMILE HØJBJERG,"Aug 11, 2020",Tottenham Hotspur
OLIVER SKIPP,"Jul 1, 2018",Tottenham Hotspur
PAPE MATAR SARR,"Aug 27, 2021",Tottenham Hotspur
RODRIGO BENTANCUR,"Jan 31, 2022",Tottenham Hotspur
YVES BISSOUMA,"Jul 1, 2022",Tottenham Hotspur
RYAN SESSEGNON,"Aug 8, 2019",Tottenham Hotspur
JAMES MADDISON,"Jul 1, 2023",Tottenham Hotspur
GIOVANI LO CELSO,"Jul 1, 2020",Tottenham Hotspur
HEUNG-MIN SON,"Aug 28, 2015",Tottenham Hotspur
MANOR SOLOMON,"Jul 11, 2023",Tottenham Hotspur
DEJAN KULUSEVSKI,"Jul 1, 2023",Tottenham Hotspur
BRENNAN JOHNSON,"Sep 1, 2023",Tottenham Hotspur
BRYAN GIL,"Jul 26, 2021",Tottenham Hotspur
RICHARLISON,"Jul 1, 2022",Tottenham Hotspur
TIMO WERNER,"Jan 9, 2024",Tottenham Hotspur
EMILIANO MARTÍNEZ,"Sep 16, 2020",Aston Villa
ROBIN OLSEN,"Jul 1, 2022",Aston Villa
JOE GAUCI,"Feb 1, 2024",Aston Villa
PAU TORRES,"Jul 12, 2023",Aston Villa
EZRI KONSA,"Jul 11, 2019",Aston Villa
DIEGO CARLOS,"Jul 1, 2022",Aston Villa
TYRONE MINGS,"Jul 8, 2019",Aston Villa
CLÉMENT LENGLET,"Sep 1, 2023",Aston Villa
CALUM CHAMBERS,"Jan 27, 2022",Aston Villa
KORTNEY HAUSE,"Jul 1, 2019",Aston Villa
LUCAS DIGNE,"Jan 13, 2022",Aston Villa
ÁLEX MORENO,"Jan 11, 2023",Aston Villa
MATTY CASH,"Sep 3, 2020",Aston Villa
KAINE KESLER-HAYDEN,-,Aston Villa
BOUBACAR KAMARA,"Jul 1, 2022",Aston Villa
DOUGLAS LUIZ,"Jul 25, 2019",Aston Villa
JACOB RAMSEY,"Jul 1, 2020",Aston Villa
JOHN MCGINN,"Aug 8, 2018",Aston Villa
YOURI TIELEMANS,"Jul 1, 2023",Aston Villa
TIM IROEGBUNAM,"Jan 1, 2022",Aston Villa
NICOLÒ ZANIOLO,"Aug 18, 2023",Aston Villa
LEON BAILEY,"Aug 4, 2021",Aston Villa
MORGAN ROGERS,"Feb 1, 2024",Aston Villa
MOUSSA DIABY,"Jul 22, 2023",Aston Villa
EMILIANO BUENDÍA,"Jul 1, 2021",Aston Villa
OLLIE WATKINS,"Sep 9, 2020",Aston Villa
JHON DURÁN,"Jan 23, 2023",Aston Villa
JOSÉ SÁ,"Jul 15, 2021",Wolves
DANIEL BENTLEY,"Jan 25, 2023",Wolves
TOM KING,"Jul 3, 2023",Wolves
MAX KILMAN,"Aug 9, 2018",Wolves
TOTI,"Sep 2, 2020",Wolves
SANTIAGO BUENO,"Aug 31, 2023",Wolves
CRAIG DAWSON,"Jan 22, 2023",Wolves
RAYAN AÏT-NOURI,"Jul 9, 2021",Wolves
HUGO BUENO,"Jul 1, 2022",Wolves
NÉLSON SEMEDO,"Sep 23, 2020",Wolves
MATT DOHERTY,"Jul 20, 2023",Wolves
MARIO LEMINA,"Jan 13, 2023",Wolves
BOUBACAR TRAORÉ,"Jul 1, 2023",Wolves
JOÃO GOMES,"Jan 30, 2023",Wolves
JEAN-RICNER BELLEGARDE,"Sep 1, 2023",Wolves
TOMMY DOYLE,"Sep 1, 2023",Wolves
NOHA LEMINA,"Jan 31, 2024",Wolves
ENSO GONZÁLEZ,"Aug 31, 2023",Wolves
PEDRO NETO,"Aug 2, 2019",Wolves
PABLO SARABIA,"Jan 17, 2023",Wolves
MATHEUS CUNHA,"Jul 1, 2023",Wolves
HEE-CHAN HWANG,"Jul 1, 2022",Wolves
MARK FLEKKEN,"Jul 1, 2023",Brentford
THOMAS STRAKOSHA,"Jul 14, 2022",Brentford
HÁKON RAFN VALDIMARSSON,"Jan 26, 2024",Brentford
ELLERY BALCOMBE,"Jul 1, 2018",Brentford
NATHAN COLLINS,"Jul 4, 2023",Brentford
KRISTOFFER AJER,"Jul 21, 2021",Brentford
ETHAN PINNOCK,"Jul 2, 2019",Brentford
ZANKA,"Sep 9, 2021",Brentford
BEN MEE,"Jul 22, 2022",Brentford
RICO HENRY,"Aug 31, 2016",Brentford
SERGIO REGUILÓN,"Jan 17, 2024",Brentford
AARON HICKEY,"Jul 9, 2022",Brentford
MADS ROERSLEV,"Aug 7, 2019",Brentford
VITALY JANELT,"Oct 3, 2020",Brentford
CHRISTIAN NØRGAARD,"Jul 1, 2019",Brentford
YUNUS EMRE KONAK,"Jan 11, 2024",Brentford
MATHIAS JENSEN,"Jul 10, 2019",Brentford
JOSH DASILVA,"Aug 21, 2018",Brentford
FRANK ONYEKA,"Jul 20, 2021",Brentford
SHANDON BAPTISTE,"Jan 31, 2020",Brentford
RYAN TREVITT,"Jul 1, 2023",Brentford
YEGOR YARMOLYUK,"Jul 1, 2023",Brentford
SAMAN GHODDOS,"Jan 14, 2021",Brentford
YOANE WISSA,"Aug 10, 2021",Brentford
KEANE LEWIS-POTTER,"Jul 12, 2022",Brentford
MIKKEL DAMSGAARD,"Aug 10, 2022",Brentford
BRYAN MBEUMO,"Aug 5, 2019",Brentford
KEVIN SCHADE,"Jul 1, 2023",Brentford
IVAN TONEY,"Sep 1, 2020",Brentford
NEAL MAUPAY,"Sep 1, 2023",Brentford
ROBERT SÁNCHEZ,"Aug 5, 2023",Chelsea
DJORDJE PETROVIC,"Aug 26, 2023",Chelsea
MARCUS BETTINELLI,"Jul 28, 2021",Chelsea
LEVI COLWILL,"Jul 1, 2023",Chelsea
AXEL DISASI,"Aug 4, 2023",Chelsea
BENOÎT BADIASHILE,"Jan 5, 2023",Chelsea
WESLEY FOFANA,"Aug 31, 2022",Chelsea
TREVOH CHALOBAH,"Jul 1, 2021",Chelsea
MALANG SARR,"Aug 27, 2020",Chelsea
THIAGO SILVA,"Aug 28, 2020",Chelsea
ALFIE GILCHRIST,-,Chelsea
BEN CHILWELL,"Aug 26, 2020",Chelsea
MARC CUCURELLA,"Aug 5, 2022",Chelsea
REECE JAMES,"Jul 1, 2019",Chelsea
MALO GUSTO,"Jan 29, 2023",Chelsea
MOISÉS CAICEDO,"Aug 14, 2023",Chelsea
ROMÉO LAVIA,"Aug 18, 2023",Chelsea
LESLEY UGOCHUKWU,"Aug 1, 2023",Chelsea
ENZO FERNÁNDEZ,"Jan 31, 2023",Chelsea
CONOR GALLAGHER,"Jul 1, 2022",Chelsea
CARNEY CHUKWUEMEKA,"Aug 4, 2022",Chelsea
CESARE CASADEI,-,Chelsea
CHRISTOPHER NKUNKU,"Jul 1, 2023",Chelsea
COLE PALMER,"Sep 1, 2023",Chelsea
RAHEEM STERLING,"Jul 13, 2022",Chelsea
MYKHAYLO MUDRYK,"Jan 15, 2023",Chelsea
DIEGO MOREIRA,"Jul 1, 2023",Chelsea
NONI MADUEKE,"Jan 20, 2023",Chelsea
NICOLAS JACKSON,"Jul 1, 2023",Chelsea
DEIVID WASHINGTON,"Aug 24, 2023",Chelsea
NICK POPE,"Jul 1, 2022",Newcastle
MARTIN DÚBRAVKA,"Jul 1, 2018",Newcastle
LORIS KARIUS,"Sep 12, 2022",Newcastle
MARK GILLESPIE,"Jul 3, 2020",Newcastle
SVEN BOTMAN,"Jul 1, 2022",Newcastle
FABIAN SCHÄR,"Jul 26, 2018",Newcastle
JAMAAL LASCELLES,"Aug 9, 2014",Newcastle
PAUL DUMMETT,"Jul 1, 2012",Newcastle
LEWIS HALL,"Aug 22, 2023",Newcastle
MATT TARGETT,"Jul 1, 2022",Newcastle
DAN BURN,"Jan 31, 2022",Newcastle
TINO LIVRAMENTO,"Aug 8, 2023",Newcastle
KIERAN TRIPPIER,"Jan 7, 2022",Newcastle
EMIL KRAFTH,"Aug 8, 2019",Newcastle
BRUNO GUIMARÃES,"Jan 30, 2022",Newcastle
SANDRO TONALI,"Jul 3, 2023",Newcastle
JOELINTON,"Jul 23, 2019",Newcastle
JOE WILLOCK,"Aug 13, 2021",Newcastle
SEAN LONGSTAFF,"Jan 1, 2019",Newcastle
LEWIS MILEY,"Jul 1, 2023",Newcastle
MATT RITCHIE,"Jul 1, 2016",Newcastle
ELLIOT ANDERSON,"Jul 1, 2022",Newcastle
ANTHONY GORDON,"Jan 29, 2023",Newcastle
HARVEY BARNES,"Jul 23, 2023",Newcastle
MIGUEL ALMIRÓN,"Jan 31, 2019",Newcastle
JACOB MURPHY,"Jul 19, 2017",Newcastle
ALEXANDER ISAK,"Aug 26, 2022",Newcastle
CALLUM WILSON,"Sep 7, 2020",Newcastle
BART VERBRUGGEN,"Jul 3, 2023",Brighton
JASON STEELE,"Jul 1, 2018",Brighton
TOM MCGILL,"Jul 29, 2022",Brighton
ADAM WEBSTER,"Aug 3, 2019",Brighton
IGOR,"Jul 26, 2023",Brighton
JAN PAUL VAN HECKE,"Sep 10, 2020",Brighton
LEWIS DUNK,"Jul 1, 2010",Brighton
PERVIS ESTUPIÑÁN,"Aug 16, 2022",Brighton
VALENTÍN BARCO,"Jan 20, 2024",Brighton
TARIQ LAMPTEY,"Jan 31, 2020",Brighton
JOËL VELTMAN,"Jul 29, 2020",Brighton
CARLOS BALEBA,"Aug 29, 2023",Brighton
BILLY GILMOUR,"Sep 1, 2022",Brighton
JACK HINSHELWOOD,"Jul 1, 2023",Brighton
JAKUB MODER,"Oct 4, 2020",Brighton
PASCAL GROSS,"Jul 1, 2017",Brighton
JAMES MILNER,"Jul 1, 2023",Brighton
FACUNDO BUONANOTTE,"Jan 1, 2023",Brighton
ADAM LALLANA,"Jul 27, 2020",Brighton
KAORU MITOMA,"Aug 10, 2021",Brighton
ANSU FATI,"Sep 1, 2023",Brighton
SIMON ADINGRA,"Jul 1, 2022",Brighton
SOLLY MARCH,"Jul 1, 2013",Brighton
JULIO ENCISO,"Jul 1, 2022",Brighton
EVAN FERGUSON,"Jul 1, 2022",Brighton
JOÃO PEDRO,"Jul 1, 2023",Brighton
DANNY WELBECK,"Oct 18, 2020",Brighton
IVO GRBIC,"Jan 26, 2024",Sheffield United
WES FODERINGHAM,"Jul 27, 2020",Sheffield United
ADAM DAVIES,"Jan 25, 2022",Sheffield United
JORDAN AMISSAH,"Jul 1, 2022",Sheffield United
ANEL AHMEDHODZIC,"Jul 6, 2022",Sheffield United
AUSTON TRUSTY,"Aug 3, 2023",Sheffield United
JOHN EGAN,"Jul 19, 2018",Sheffield United
MASON HOLGATE,"Feb 1, 2024",Sheffield United
JACK ROBINSON,"Jan 21, 2020",Sheffield United
CHRIS BASHAM,"Jul 1, 2014",Sheffield United
YASSER LAROUCI,"Jul 17, 2023",Sheffield United
MAX LOWE,"Sep 7, 2020",Sheffield United
RHYS NORRINGTON-DAVIES,"Jul 1, 2019",Sheffield United
JAYDEN BOGLE,"Sep 7, 2020",Sheffield United
GEORGE BALDOCK,"Jul 1, 2017",Sheffield United
GUSTAVO HAMER,"Aug 12, 2023",Sheffield United
VINI SOUZA,"Aug 9, 2023",Sheffield United
JAMES MCATEE,"Sep 1, 2023",Sheffield United
TOM DAVIES,"Aug 16, 2023",Sheffield United
ANIS SLIMANE,"Jul 13, 2023",Sheffield United
ANDRE BROOKS,"Jul 1, 2023",Sheffield United
OLIVER NORWOOD,"Jan 4, 2019",Sheffield United
BEN OSBORN,"Jul 26, 2019",Sheffield United
BEN BRERETON DÍAZ,"Jan 5, 2024",Sheffield United
CAMERON ARCHER,"Aug 27, 2023",Sheffield United
OLI MCBURNIE,"Aug 2, 2019",Sheffield United
RHIAN BREWSTER,"Oct 2, 2020",Sheffield United
WILLIAM OSULA,"Jul 1, 2022",Sheffield United
DANIEL JEBBISON,"Jul 1, 2021",Sheffield United
EDERSON,"Jul 1, 2017",Man City
STEFAN ORTEGA,"Jul 1, 2022",Man City
SCOTT CARSON,"Jul 20, 2021",Man City
RÚBEN DIAS,"Sep 29, 2020",Man City
